Species,Genus,Sub-family,Family,Order
banderanus,Osgoodomys,Neotominae,Cricetidae,Rodentia
byronia,Otaria,Otariinae,Otariidae,Carnivora
manul,Otocolobus,Felinae,Felidae,Carnivora
madagascariensis,Otomops,Molossinae,Molossidae,Chiroptera
martiensseni,Otomops,Molossinae,Molossidae,Chiroptera
typus,Otomys,Murinae,Muridae,Rodentia
aries,Ovis,Bovinae,Bovidae,Artiodactyla
nivicola,Ovis,Bovinae,Bovidae,Artiodactyla
feii,Pachytriton,Salamandrinae,Salamandridae,Caudata
muscorum,Palawanosorex,Soricinae,Soricidae,Soricomorpha
leo,Panthera,Felinae,Felidae,Carnivora
onca,Panthera,Felinae,Felidae,Carnivora
pardus,Panthera,Felinae,Felidae,Carnivora
tigris,Panthera,Felinae,Felidae,Carnivora
griselda,Pantherina,Soricinae,Soricidae,Eulipotyphla
griselda,Parablarinella,Soricinae,Soricidae,Soricomorpha
schoutedeni,Paracrocidura,Soricinae,Soricidae,Soricomorpha
hermaphroditus,Paradoxurus,Paradoxurinae,Viverridae,Carnivora
brunnea,Parahyaena,Hyaeninae,Hyaenidae,Carnivora
choirocephalus,Paramonacanthus,Monacanthinae,Monacanthidae,Tetraodontiformes
sulcatus,Paramonacanthus,Monacanthinae,Monacanthidae,Tetraodontiformes
marmorata,Pardofelis,Felinae,Felidae,Carnivora
plumbea,Patagioenas,Columbinae,Columbidae,Columbiformes
punctatus,Pattonomys,Echimyinae,Echimyidae,Rodentia
semivillosus,Pattonomys,Echimyinae,Echimyidae,Rodentia
tajacu,Pecari,Tayassuinae,Tayassuidae,Artiodactyla
cantorii,Pelochelys,Trionychinae,Trionychidae,Testudines
furnessi,Pentalagus,Leporinae,Leporidae,Lagomorpha
glenii,Perccottus,Odontobutinae,Odontobutidae,Perciformes
attwateri,Peromyscus,Cricetinae,Cricetidae,Rodentia
boylii,Peromyscus,Cricetinae,Cricetidae,Rodentia
californicus,Peromyscus,Cricetinae,Cricetidae,Rodentia
crinitus,Peromyscus,Cricetinae,Cricetidae,Rodentia
eremicus,Peromyscus,Cricetinae,Cricetidae,Rodentia
fraterculus,Peromyscus,Cricetinae,Cricetidae,Rodentia
hooperi,Peromyscus,Cricetinae,Cricetidae,Rodentia
leucopus,Peromyscus,Cricetinae,Cricetidae,Rodentia
maniculatus,Peromyscus,Cricetinae,Cricetidae,Rodentia
mayensis,Peromyscus,Cricetinae,Cricetidae,Rodentia
megalops,Peromyscus,Cricetinae,Cricetidae,Rodentia
mekisturus,Peromyscus,Cricetinae,Cricetidae,Rodentia
merriami,Peromyscus,Cricetinae,Cricetidae,Rodentia
nasutus,Peromyscus,Cricetinae,Cricetidae,Rodentia
ochraventer,Peromyscus,Cricetinae,Cricetidae,Rodentia
polionotus,Peromyscus,Cricetinae,Cricetidae,Rodentia
spicilegus,Peromyscus,Cricetinae,Cricetidae,Rodentia
stephani,Peromyscus,Cricetinae,Cricetidae,Rodentia
truei,Peromyscus,Cricetinae,Cricetidae,Rodentia
alborufus,Petaurista,Limoniinae,Limoniidae,Diptera
electromontis,Phaner,Cheirogaleinae,Cheirogaleidae,Primates
parienti,Phaner,Cheirogaleinae,Cheirogaleidae,Primates
intermedius,Phenacomys,Cricetinae,Cricetidae,Rodentia
fasciata,Phoca,Phocinae,Phocidae,Carnivora
groenlandica,Phoca,Phocinae,Phocidae,Carnivora
largha,Phoca,Phocinae,Phocidae,Carnivora
sibirica,Phoca,Phocinae,Phocidae,Carnivora
vitulina,Phoca,Phocinae,Phocidae,Carnivora
roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia
sungorus,Phodopus,Cricetinae,Cricetidae,Rodentia
erythrurus,Phrynocephalus,Agaminae,Agamidae,Squamata
theobaldi,Phrynocephalus,Agaminae,Agamidae,Squamata
blainvillii,Phyllomys,Echimyinae,Echimyidae,Rodentia
dasythrix,Phyllomys,Echimyinae,Echimyidae,Rodentia
catodon,Physeter,Physeterinae,Physeteridae,Cetacea
macrocephalus,Physeter,Physeterinae,Physeteridae,Cetacea
abramus,Pipistrellus,Vespertilioninae,Vespertilionidae,Chiroptera
kuhlii,Pipistrellus,Vespertilioninae,Vespertilionidae,Chiroptera
nathusii,Pipistrellus,Vespertilioninae,Vespertilionidae,Chiroptera
pipistrellus,Pipistrellus,Vespertilioninae,Vespertilionidae,Chiroptera
compressus,Platygonus,Tayassuinae,Tayassuidae,Artiodactyla
lineatus,Platyrrhinus,Phylostominae,Phylostomidae,Chiroptera
matapalensis,Platyrrhinus,Phylostominae,Phylostomidae,Chiroptera
anchietae,Plerotes,Pteropodinae,Pteropodidae,Chiroptera
salvania,Porcula,Suinae,Suidae,Artiodactyla
porcus,Potamochoerus,Suinae,Suidae,Artiodactyla
daltoni,Praomys,Murinae,Muridae,Rodentia
hartwigi,Praomys,Murinae,Muridae,Rodentia
jacksoni,Praomys,Murinae,Muridae,Rodentia
morio,Praomys,Murinae,Muridae,Rodentia
rostratus,Praomys,Murinae,Muridae,Rodentia
bengalensis,Prionailurus,Felinae,Felidae,Carnivora
viverrinus,Prionailurus,Felinae,Felidae,Carnivora
linsang,Prionodon,Prionodontaceae,Prionodontaceae,Hypnales
cancrivorus,Procyon,Procyoninae,Procyonidae,Carnivora
lotor,Procyon,Procyoninae,Procyonidae,Carnivora
cuvieri,Proechimys,Echimyinae,Echimyidae,Rodentia
echinothrix,Proechimys,Echimyinae,Echimyidae,Rodentia
gularis,Proechimys,Echimyinae,Echimyidae,Rodentia
guyannensis,Proechimys,Echimyinae,Echimyidae,Rodentia
quadruplicatus,Proechimys,Echimyinae,Echimyidae,Rodentia
roberti,Proechimys,Echimyinae,Echimyidae,Rodentia
semispinosus,Proechimys,Echimyinae,Echimyidae,Rodentia
trinitatis,Proechimys,Echimyinae,Echimyidae,Rodentia
simus,Prolemur,Lemurinae,Lemuridae,Primates
deckenii,Propithecus,Indriinae,Indriidae,Primates
diadema,Propithecus,Indriinae,Indriidae,Primates
cristata,Proteles,Hyaeninae,Hyaenidae,Carnivora
nayaur,Pseudois,Caprinae,Bovidae,Artiodactyla
schaeferi,Pseudois,Caprinae,Bovidae,Artiodactyla
atrata,Pteralopex,Pteropodinae,Pteropodidae,Chiroptera
taki,Pteralopex,Pteropodinae,Pteropodidae,Chiroptera
parnellii,Pteronotus,Mormoopinae,Mormoopidae,Chiroptera
personatus,Pteronotus,Mormoopinae,Mormoopidae,Chiroptera
rubiginosus,Pteronotus,Mormoopinae,Mormoopidae,Chiroptera
mephistophiles,Pudu,Cervinae,Cervidae,Artiodactyla
puda,Pudu,Cervinae,Cervidae,Artiodactyla
caspica,Pusa,Phocinae,Phocidae,Carnivora
hispida,Pusa,Phocinae,Phocidae,Carnivora
sibirica,Pusa,Phocinae,Phocidae,Carnivora
tarandus,Rangifer,Cervinae,Cervidae,Artiodactyla
melanotis,Raphicerus,Bovinae,Bovidae,Artiodactyla
sharpei,Raphicerus,Bovinae,Bovidae,Artiodactyla
argyrotaenia,Rasbora,Cyprininae,Cyprinidae,Cypriniformes
sumatrana,Rasbora,Cyprininae,Cyprinidae,Cypriniformes
baluensis,Rattus,Murinae,Muridae,Rodentia
exulans,Rattus,Murinae,Muridae,Rodentia
hoogerwerfi,Rattus,Murinae,Muridae,Rodentia
rattus,Rattus,Murinae,Muridae,Rodentia
fulvescens,Reithrodontomys,Cricetinae,Cricetidae,Rodentia
tenuirostris,Reithrodontomys,Cricetinae,Cricetidae,Rodentia
unicornis,Rhinoceros,Rhinocerotinae,Rhinocerotidae,Perissodactyla
affinis,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
euryale,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
ferrumequinum,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
hipposideros,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
huananus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
luctus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
marshalli,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
pearsonii,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
pusillus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
siamensis,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
thomasi,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera
hardwickei,Rhinopoma,Rhinopomatinae,Rhinopomatidae,Chiroptera
aeneus,Rhogeessa,Vespertilioninae,Vespertilionidae,Chiroptera
alleni,Rhogeessa,Vespertilioninae,Vespertilionidae,Chiroptera
genowaysi,Rhogeessa,Vespertilioninae,Vespertilionidae,Chiroptera
mira,Rhogeessa,Vespertilioninae,Vespertilionidae,Chiroptera
parvula,Rhogeessa,Vespertilioninae,Vespertilionidae,Chiroptera
opimus,Rhombomys,Murinae,Muridae,Rodentia
cirnei,Rhynchocyon,Macroscelidinae,Macroscelididae,Macroscelidea
petersi,Rhynchocyon,Macroscelidinae,Macroscelididae,Macroscelidea
udzungwensis,Rhynchocyon,Macroscelidinae,Macroscelididae,Macroscelidea
diazi,Romerolagus,Leporinae,Leporidae,Lagomorpha
aegyptiacus,Rousettus,Pteropodinae,Pteropodidae,Chiroptera
amplexicaudatus,Rousettus,Pteropodinae,Pteropodidae,Chiroptera
leschenaulti,Rousettus,Pteropodinae,Pteropodidae,Chiroptera
leschenaultii,Rousettus,Pteropodinae,Pteropodidae,Chiroptera
madagascariensis,Rousettus,Pteropodinae,Pteropodidae,Chiroptera
obliviosus,Rousettus,Pteropodinae,Pteropodidae,Chiroptera
duvaucelii,Rucervus,Cervinae,Cervidae,Artiodactyla
eldii,Rucervus,Cervinae,Cervidae,Artiodactyla
pyrenaica,Rupicapra,Bovinae,Bovidae,Artiodactyla
timorensis,Rusa,Cervinae,Cervidae,Artiodactyla
unicolor,Rusa,Cervinae,Cervidae,Artiodactyla
suncoides,Ruwenzorisorex,Soricinae,Soricidae,Soricomorpha
bilineata,Saccopteryx,Emballonurinae,Emballonuridae,Chiroptera
leptura,Saccopteryx,Emballonurinae,Emballonuridae,Chiroptera
tatarica,Saiga,Bovinae,Bovidae,Artiodactyla
boliviensis,Saimiri,Cebinae,Cebidae,Primates
anomalus,Sciurus,Sciurinae,Sciuridae,Rodentia
arizonensis,Sciurus,Sciurinae,Sciuridae,Rodentia
carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia
colliaei,Sciurus,Sciurinae,Sciuridae,Rodentia
granatensis,Sciurus,Sciurinae,Sciuridae,Rodentia
ignitus,Sciurus,Sciurinae,Sciuridae,Rodentia
nayaritensis,Sciurus,Sciurinae,Sciuridae,Rodentia
variegatoides,Sciurus,Sciurinae,Sciuridae,Rodentia
vulgaris,Sciurus,Sciurinae,Sciuridae,Rodentia
bergmansi,Scotonycteris,Rousettinae,Pteropodidae,Chiroptera
zenkeri,Scotonycteris,Rousettinae,Pteropodidae,Chiroptera
betpakdalaensis,Selevinia,Glirinae,Gliridae,Rodentia
betulina,Sicista,Dipodinae,Dipodidae,Rodentia
nebouxii,Simosciurus,Sciurinae,Sciuridae,Rodentia
stramineus,Simosciurus,Sciurinae,Sciuridae,Rodentia
pearsoni,Solisorex,Soricinae,Soricidae,Soricomorpha
alashanicus,Spermophilus,Sciurinae,Sciuridae,Rodentia
brevicauda,Spermophilus,Sciurinae,Sciuridae,Rodentia
dauricus,Spermophilus,Sciurinae,Sciuridae,Rodentia
erythrogenys,Spermophilus,Sciurinae,Sciuridae,Rodentia
fulvus,Spermophilus,Sciurinae,Sciuridae,Rodentia
major,Spermophilus,Sciurinae,Sciuridae,Rodentia
musicus,Spermophilus,Sciurinae,Sciuridae,Rodentia
pallidicauda,Spermophilus,Sciurinae,Sciuridae,Rodentia
pygmaeus,Spermophilus,Sciurinae,Sciuridae,Rodentia
ralli,Spermophilus,Sciurinae,Sciuridae,Rodentia
relictus,Spermophilus,Sciurinae,Sciuridae,Rodentia
suslicus,Spermophilus,Sciurinae,Sciuridae,Rodentia
zygaena,Sphyrna,Sphyrninae,Sphyrnidae,Carcharhiniformes
maculatus,Spilocuscus,Phalangerinae,Phalangeridae,Diprotodontia
angustifrons,Spilogale,Mephitinae,Mephitidae,Carnivora
gracilis,Spilogale,Mephitinae,Mephitidae,Carnivora
interrupta,Spilogale,Mephitinae,Mephitidae,Carnivora
putorius,Spilogale,Mephitinae,Mephitidae,Carnivora
pygmaea,Spilogale,Mephitinae,Mephitidae,Carnivora
attenuata,Stenella,Teratosphaeriaceae,Teratosphaeriaceae,Mycosphaerellales
longirostris,Stenella,Teratosphaeriaceae,Teratosphaeriaceae,Mycosphaerellales
gregalis,Stenocranius,Cricetinae,Cricetidae,Rodentia
raddei,Stenocranius,Cricetinae,Cricetidae,Rodentia
bakeri,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera
ludovici,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera
tildae,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera
annandalei,Sundamys,Murinae,Muridae,Rodentia
maxi,Sundamys,Murinae,Muridae,Rodentia
muelleri,Sundamys,Murinae,Muridae,Rodentia
altitudinis,Sundasciurus,Callosciurinae,Sciuridae,Rodentia
hippurus,Sundasciurus,Callosciurinae,Sciuridae,Rodentia
jentinki,Sundasciurus,Callosciurinae,Sciuridae,Rodentia
lowii,Sundasciurus,Callosciurinae,Sciuridae,Rodentia
robinsoni,Sundasciurus,Callosciurinae,Sciuridae,Rodentia
tahan,Sundasciurus,Callosciurinae,Sciuridae,Rodentia
tenuis,Sundasciurus,Callosciurinae,Sciuridae,Rodentia
suricatta,Suricata,Herpestinae,Herpestidae,Carnivora
andinus,Sylvilagus,Leporinae,Leporidae,Lagomorpha
aquaticus,Sylvilagus,Leporinae,Leporidae,Lagomorpha
bachmani,Sylvilagus,Leporinae,Leporidae,Lagomorpha
brasiliensis,Sylvilagus,Leporinae,Leporidae,Lagomorpha
floridanus,Sylvilagus,Leporinae,Leporidae,Lagomorpha
gabbi,Sylvilagus,Leporinae,Leporidae,Lagomorpha
parentum,Sylvilagus,Leporinae,Leporidae,Lagomorpha
transitionalis,Sylvilagus,Leporinae,Leporidae,Lagomorpha
syndactylus,Symphalangus,Hylobatinae,Hylobatidae,Primates
caffer,Syncerus,Bovinae,Bovidae,Artiodactyla
australis,Tadarida,Molossinae,Molossidae,Chiroptera
brasiliensis,Tadarida,Molossinae,Molossidae,Chiroptera
latouchei,Tadarida,Molossinae,Molossidae,Chiroptera
teniotis,Tadarida,Molossinae,Molossidae,Chiroptera
canipes,Tamias,Sciurinae,Sciuridae,Rodentia
quadrivittatus,Tamias,Sciurinae,Sciuridae,Rodentia
sibiricus,Tamias,Sciurinae,Sciuridae,Rodentia
maritimus,Tamiops,Sciurinae,Sciuridae,Rodentia
mcclellandii,Tamiops,Sciurinae,Sciuridae,Rodentia
rodolphii,Tamiops,Sciurinae,Sciuridae,Rodentia
swinhoei,Tamiops,Sciurinae,Sciuridae,Rodentia
bairdii,Tapirus,Tapirinae,Tapiridae,Perissodactyla
pinchaque,Tapirus,Tapirinae,Tapiridae,Perissodactyla
terrestris,Tapirus,Tapirinae,Tapiridae,Perissodactyla
pecari,Tayassu,Tayassuinae,Tayassuidae,Artiodactyla
cynocephalus,Thylacinus,Thylacininae,Thylacinidae,Dasyuromorphia
matacus,Tolypeutes,Dasypodinae,Dasypodidae,Cingulata
tricinctus,Tolypeutes,Dasypodinae,Dasypodidae,Cingulata
bidens,Tonatia,Phyllostominae,Phyllostomidae,Chiroptera
saurophila,Tonatia,Phyllostominae,Phyllostomidae,Chiroptera
rhipidurus,Toromys,Echimyinae,Echimyidae,Rodentia
cirrhosus,Trachops,Phyllostominae,Phyllostomidae,Chiroptera
angasii,Tragelaphus,Bovinae,Bovidae,Artiodactyla
buxtoni,Tragelaphus,Bovinae,Bovidae,Artiodactyla
oryx,Tragelaphus,Bovinae,Bovidae,Artiodactyla
scriptus,Tragelaphus,Bovinae,Bovidae,Artiodactyla
strepsiceros,Tragelaphus,Bovinae,Bovidae,Artiodactyla
javanicus,Tragulus,Tragulinae,Tragulidae,Artiodactyla
kanchil,Tragulus,Tragulinae,Tragulidae,Artiodactyla
ornatus,Tremarctos,Ursinae,Ursidae,Carnivora
menamena,Triaenops,Rhinonycterinae,Rhinonycteridae,Chiroptera
persicus,Triaenops,Rhinonycterinae,Rhinonycteridae,Chiroptera
vulpecula,Trichosurus,Phalangerinae,Phalangeridae,Diprotodontia
truncatus,Tursiops,Delphininae,Delphinidae,Cetacea
chapensis,Typhlomys,Platacanthomyinae,Platacanthomyidae,Rodentia
cinereus,Typhlomys,Platacanthomyinae,Platacanthomyidae,Rodentia
fengjiensis,Typhlomys,Platacanthomyinae,Platacanthomyidae,Rodentia
cinereoargenteus,Urocyon,Caninae,Canidae,Carnivora
americanus,Ursus,Ursinae,Ursidae,Carnivora
arctos,Ursus,Ursinae,Ursidae,Carnivora
thibetanus,Ursus,Ursinae,Ursidae,Carnivora
foramena,Vernaya,Murinae,Muridae,Rodentia
fulva,Vernaya,Murinae,Muridae,Rodentia
meiguites,Vernaya,Murinae,Muridae,Rodentia
nushanensis,Vernaya,Murinae,Muridae,Rodentia
murinus,Vespertilio,Vespertilioninae,Vespertilionidae,Chiroptera
pacos,Vicugna,Camelinae,Camelidae,Artiodactyla
altiloquus,Vireo,Vireoninae,Vireonidae,Passeriformes
megaspila,Viverra,Viverrinae,Viverridae,Carnivora
zibetha,Viverra,Viverrinae,Viverridae,Carnivora
indica,Viverricula,Viverrinae,Viverridae,Carnivora
ursinus,Vombatus,Vombatinae,Vombatidae,Diprotodontia
chama,Vulpes,Caninae,Canidae,Carnivora
lagopus,Vulpes,Caninae,Canidae,Carnivora
rueppellii,Vulpes,Caninae,Canidae,Carnivora
vulpes,Vulpes,Caninae,Canidae,Carnivora
zerda,Vulpes,Caninae,Canidae,Carnivora
pichiy,Zaedyus,Dasypodinae,Dasypodidae,Cingulata
californianus,Zalophus,Otariinae,Otariidae,Carnivora
japonicus,Zalophus,Otariinae,Otariidae,Carnivora
wollebaeki,Zalophus,Otariinae,Otariidae,Carnivora
cavirostris,Ziphius,Hyperoodontinae,Hyperoodontidae,Cetacea
