Species,Genus,Sub-family,Family,Order
heinrichorum,Hylomyscus,Murinae,Muridae,Rodentia
kerbispeterhansi,Hylomyscus,Murinae,Muridae,Rodentia
pamfi,Hylomyscus,Murinae,Muridae,Rodentia
parvus,Hylomyscus,Murinae,Muridae,Rodentia
simus,Hylomyscus,Murinae,Muridae,Rodentia
stella,Hylomyscus,Murinae,Muridae,Rodentia
walterverheyeni,Hylomyscus,Murinae,Muridae,Rodentia
alboniger,Hylopetes,Sciurinae,Sciuridae,Rodentia
phayrei,Hylopetes,Sciurinae,Sciuridae,Rodentia
ampullatus,Hyperoodon,Ziphiinae,Ziphiidae,Cetartiodactyla
monstrosus,Hypsignathus,Pteropodinae,Pteropodidae,Chiroptera
albicauda,Ichneumia,Herpestinae,Herpestidae,Carnivora
libycus,Ictonyx,Mustelinae,Mustelidae,Carnivora
striatus,Ictonyx,Mustelinae,Mustelidae,Carnivora
papillosa,Kerivoula,Vespertilioninae,Vespertilionidae,Chiroptera
ellipsiprymnus,Kobus,Bovinae,Bovidae,Artiodactyla
leche,Kobus,Bovinae,Bovidae,Artiodactyla
vaigiensis,Kyphosus,Kyphosinae,Kyphosidae,Perciformes
albirostris,Lagenorhynchus,Delphininae,Delphinidae,Cetacea
poeppigii,Lagothrix,Atelinae,Atelidae,Primates
noctivagans,Lasionycteris,Vespertilioninae,Vespertilionidae,Chiroptera
anglicus,Lasiopodomys,Cricetinae,Cricetidae,Rodentia
brandtii,Lasiopodomys,Cricetinae,Cricetidae,Rodentia
curtatus,Lemmiscus,Cricetinae,Cricetidae,Rodentia
sibiricus,Lemmus,Cricetinae,Cricetidae,Rodentia
barbarus,Lemniscomys,Murinae,Muridae,Rodentia
rosalia,Lemniscomys,Murinae,Muridae,Rodentia
catta,Lemur,Lemurinae,Lemuridae,Primates
guttulus,Leopardus,Felinae,Felidae,Carnivora
jacobita,Leopardus,Felinae,Felidae,Carnivora
pardalis,Leopardus,Felinae,Felidae,Carnivora
tigrinus,Leopardus,Felinae,Felidae,Carnivora
sabanus,Leopoldamys,Murinae,Muridae,Rodentia
dorsalis,Lepilemur,Lepilemurinae,Lepilemuridae,Primates
hollandorum,Lepilemur,Lepilemurinae,Lepilemuridae,Primates
microdon,Lepilemur,Lepilemurinae,Lepilemuridae,Primates
scottorum,Lepilemur,Lepilemurinae,Lepilemuridae,Primates
seali,Lepilemur,Lepilemurinae,Lepilemuridae,Primates
wrighti,Lepilemur,Lepilemurinae,Lepilemuridae,Primates
serval,Leptailurus,Felinae,Felidae,Carnivora
weddellii,Leptonychotes,Phocinae,Phocidae,Carnivora
americanus,Lepus,Leporinae,Leporidae,Lagomorpha
arcticus,Lepus,Leporinae,Leporidae,Lagomorpha
californicus,Lepus,Leporinae,Leporidae,Lagomorpha
capensis,Lepus,Leporinae,Leporidae,Lagomorpha
europaeus,Lepus,Leporinae,Leporidae,Lagomorpha
hainanus,Lepus,Leporinae,Leporidae,Lagomorpha
mandshuricus,Lepus,Leporinae,Leporidae,Lagomorpha
sinensis,Lepus,Leporinae,Leporidae,Lagomorpha
timidus,Lepus,Leporinae,Leporidae,Lagomorpha
tolai,Lepus,Leporinae,Leporidae,Lagomorpha
acutus,Leucopleurus,Delphininae,Delphinidae,Cetacea
carcinophaga,Lobodon,Phocinae,Phocidae,Carnivora
carcinophagus,Lobodon,Phocinae,Phocidae,Carnivora
brasiliense,Lophostoma,Thymelaeaceae,Thymelaeaceae,Malvales
carrikeri,Lophostoma,Thymelaeaceae,Thymelaeaceae,Malvales
schulzi,Lophostoma,Thymelaeaceae,Thymelaeaceae,Malvales
silvicolum,Lophostoma,Thymelaeaceae,Thymelaeaceae,Malvales
lutra,Lutra,Mustelinae,Mustelidae,Carnivora
sechurae,Lycalopex,Caninae,Canidae,Carnivora
canadensis,Lynx,Felinae,Felidae,Carnivora
lynx,Lynx,Felinae,Felidae,Carnivora
pardinus,Lynx,Felinae,Felidae,Carnivora
rufus,Lynx,Felinae,Felidae,Carnivora
fascicularis,Macaca,Cercopithecinae,Cercopithecidae,Primates
mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates
nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates
minimus,Macroglossus,Macroglossusinae,Pteropodidae,Chiroptera
sobrinus,Macroglossus,Macroglossusinae,Pteropodidae,Chiroptera
macrophyllum,Macrophyllum,Phyllostominae,Phyllostomidae,Chiroptera
kirkii,Madoqua,Bovinae,Bovidae,Artiodactyla
saltiana,Madoqua,Bovinae,Bovidae,Artiodactyla
crassicaudata,Manis,Maninae,Manidae,Pholidota
gigantea,Manis,Maninae,Manidae,Pholidota
javanica,Manis,Maninae,Manidae,Pholidota
mysteria,Manis,Maninae,Manidae,Pholidota
pentadactyla,Manis,Maninae,Manidae,Pholidota
tetradactyla,Manis,Maninae,Manidae,Pholidota
tricuspis,Manis,Maninae,Manidae,Pholidota
baibacina,Marmota,Sciurinae,Sciuridae,Rodentia
flaviventris,Marmota,Sciurinae,Sciuridae,Rodentia
marmota,Marmota,Sciurinae,Sciuridae,Rodentia
monax,Marmota,Sciurinae,Sciuridae,Rodentia
sibirica,Marmota,Sciurinae,Sciuridae,Rodentia
foina,Martes,Mustelinae,Mustelidae,Carnivora
martes,Martes,Mustelinae,Mustelidae,Carnivora
melampus,Martes,Mustelinae,Mustelidae,Carnivora
pennanti,Martes,Mustelinae,Mustelidae,Carnivora
zibellina,Martes,Mustelinae,Mustelidae,Carnivora
angolensis,Mastomys,Murinae,Muridae,Rodentia
coucha,Mastomys,Murinae,Muridae,Rodentia
erythroleucus,Mastomys,Murinae,Muridae,Rodentia
hildebrandtii,Mastomys,Murinae,Muridae,Rodentia
